system_id,pdb_id,receptor_name,receptor_uniprot,receptor_gene,g_protein_family,g_alpha_subtype,ligand_name,ligand_class,n_replicas,length_per_replica_ns,total_sampling_ns,force_field,lipid_composition,structural_provenance,has_pocket_data,has_gateway_data,has_gpcrdb_pockets,notes
G12_7T6B,7T6B,Sphingosine 1-phosphate receptor 2,O95136,S1PR2,G12/13,Guanine nucleotide-binding protein subunit alpha-1,"(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-en-1-yl dihydrogen phosphate",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,nan; API receptor_name='Sphingosine 1-phosphate receptor 2' differs from existing
G12_8H8J,8H8J,G-protein coupled receptor 35,Q9HC97,GPR35,G12/13,Guanine nucleotide-binding protein subunit alpha-1,"2,2'-[(2-chloro-5-cyano-1,3-phenylene)bis(azanediyl)]bis(oxoacetic acid)",,3,500.0,1500.0,"CHARMM36 (membrane-embedded, GROMACS)",POPC,experimental,Yes,Yes,No,12 temp/incomplete files (#-prefixed) present; API receptor_name='G-protein coupled receptor 35' differs from existing; TRR with vel+forces: prod1_now.trr
G12_8IKL,8IKL,Adhesion G protein-coupled receptor E5,P48960,,G12/13,Guanine nucleotide-binding protein G(13) subunit a,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
G12_8KGG,8KGG,Putative P2Y purinoceptor 10,O00398,,G12/13,Guanine nucleotide-binding protein G(i) subunit al,(2~{S})-2-$l^{4}-azanyl-3-[[(2~{R})-3-octadecanoyloxy-2-oxidanyl-propoxy]-oxidanyl-oxidanylidene-$l^{6}-phosphanyl]oxy-propanoic acid,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
G12_9IY8,9IY8,G-protein coupled receptor 55,Q9Y2T6,,G12/13,Guanine nucleotide-binding protein subunit alpha-1,CYM,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6CMO,6CMO,Rhodopsin,P08100,RHO,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,engineered_uncertain,Yes,Yes,Yes,nan; API receptor_name='Rhodopsin' differs from existing
Gi_6D9H,6D9H,Muscarinic acetylcholine receptor M4,P08173,CHRM4,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,ADENOSINE,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,engineered_uncertain,Yes,Yes,Yes,nan; API receptor_name='Muscarinic acetylcholine receptor M4' differs from existing
Gi_6G79,6G79,5-hydroxytryptamine receptor 1B,P28222,,Gi/o,Guanine nucleotide-binding protein G(o) subunit al,2-[5-[2-[4-(4-cyanophenyl)piperazin-1-yl]-2-oxidanylidene-ethoxy]-1~{H}-indol-3-yl]ethylazanium,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6K42,6K42,Alpha-2A adrenergic receptor,P08913,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"4-[(1~{S})-1-(2,3-dimethylphenyl)ethyl]-1~{H}-imidazole",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6LFO,6LFO,C-X-C chemokine receptor type 2,P25025,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6OSA,6OSA,Neurotensin receptor type 1,P30989,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6PT0,6PT0,Cannabinoid receptor 2,P34972,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"{(3R)-5-methyl-3-[(morpholin-4-yl)methyl]-2,3-dihydro[1,4]oxazino[2,3,4-hi]indol-6-yl}(naphthalen-1-yl)methanone",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_6WWZ,6WWZ,C-C chemokine receptor type 6,P51684,,Gi/o,Guanine nucleotide-binding protein G(o) subunit al,CYM,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7CMV,7CMV,D(3) dopamine receptor,P35462,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"(4aR,10bR)-4-propyl-3,4a,5,10b-tetrahydro-2H-chromeno[4,3-b][1,4]oxazin-9-ol",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7E2X,7E2X,5-hydroxytryptamine receptor 1A,P08908,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"[(2R)-1-[oxidanyl-[(2R,3R,5S,6R)-2,3,5,6-tetrakis(oxidanyl)-4-phosphonooxy-cyclohexyl]oxy-phosphoryl]oxy-3-tetradecanoyloxy-propan-2-yl] (5E,8E)-hexadeca-5,8,11,14-tetraenoate",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7E32,7E32,5-hydroxytryptamine receptor 1D,P28221,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,SEROTONIN,,3,260.0,780.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7E33,7E33,5-hydroxytryptamine receptor 1E,P28566,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,3-(1-methylpiperidin-4-yl)-1H-indol-5-ol,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7EJX,7EJX,G protein-coupled receptor 88,Q9GZN0,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"(1R,2R)-N-[(2S,3S)-2-azanyl-3-methyl-pentyl]-N-[4-(4-propylphenyl)phenyl]-2-pyridin-2-yl-cyclopropane-1-carboxamide",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7EW1,7EW1,Sphingosine 1-phosphate receptor 5,Q9H228,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,1-[[4-[(~{E})-~{N}-[[4-cyclohexyl-3-(trifluoromethyl)phenyl]methoxy]-~{C}-methyl-carbonimidoyl]-2-ethyl-phenyl]methyl]azetidine-3-carboxylic acid,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7EW4,7EW4,Sphingosine 1-phosphate receptor 3,Q99500,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"N,N-dicyclohexyl-5-cyclopropyl-1,2-oxazole-3-carboxamide",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7EXD,7EXD,5-hydroxytryptamine receptor 1F,P30939,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"2,4,6-tris(fluoranyl)-N-[6-(1-methylpiperidin-4-yl)carbonylpyridin-2-yl]benzamide",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7EZH,7EZH,Cholecystokinin receptor type A,P32238,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7F1Q,7F1Q,C-C chemokine receptor type 5,P51681,CCR5,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7F8V,7F8V,Gastrin/cholecystokinin type B receptor,P32239,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7JVR,7JVR,D(2) dopamine receptor,P14416,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,bromoergocryptine,,3,500.0,1500.0,"CHARMM36 (membrane-embedded, GROMACS)",POPC,experimental,Yes,Yes,No,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gi_7NA7,7NA7,Growth hormone secretagogue receptor type 1,Q92847,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,1IC,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7QVM,7QVM,Oxytocin receptor,P30559,,Gi/o,Guanine nucleotide-binding protein G(o) subunit al,CYM,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7SQO,7SQO,Orexin receptor type 2,O43614,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"methyl (2R,3S)-3-[(methanesulfonyl)amino]-2-({[(1s,4S)-4-phenylcyclohexyl]oxy}methyl)piperidine-1-carboxylate",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7T10,7T10,Somatostatin receptor type 2,P30874,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,,,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7T96,7T96,Muscarinic acetylcholine receptor M2,P08172,,Gi/o,Guanine nucleotide-binding protein G(o) subunit al,"ACETYLCHOLINE/3-amino-5-chloro-N-cyclopropyl-4-methyl-6-[2-(4-methylpiperazin-1-yl)-2-oxoethoxy]thieno[2,3-b]pyridine-2-carboxamide",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
Gi_7TUZ,7TUZ,G-protein coupled receptor 183,P32249,,Gi/o,Guanine nucleotide-binding protein G(i) subunit al,"(2S,4aS,4bS,7R,8S,8aS,9R,10aR)-7-[(2R,3R)-7-hydroxy-3,7-dimethyloctan-2-yl]-4a,7,8-trimethyltetradecahydrophenanthrene-2,9-diol",,3,500.0,1500.0,"CHARMM36 (chamber, AMBER pmemd)",POPC,experimental,Yes,Yes,Yes,
