system_id,record_type,relative_path,exists,size_bytes,sha256,checksum_status
G12_7T6B,viz_structure,data/viz/G12_7T6B/structure.pdb,yes,1402920,,pending_binary_or_large_file
G12_7T6B,viz_trajectory,data/viz/G12_7T6B/traj.xtc,yes,164395204,,pending_binary_or_large_file
G12_7T6B,api_index,data/api/v1/systems/G12_7T6B/index.json,yes,1410,00313f3058b1278226c3c1f248af26a7d38f457198b77093ad12941b72f08806,computed
G12_7T6B,api_pockets,data/api/v1/systems/G12_7T6B/pockets.json,yes,5889,07b6fa0ad30eb373bb454bbe0187facaf3924d80d59e295a251bea73b83308c4,computed
G12_7T6B,api_pockets_gpcrdb,data/api/v1/systems/G12_7T6B/pockets_gpcrdb.json,yes,9581,92d2d765c212035596f2620868560f3d732590d71df8fd74bbc99ec38bf0ed84,computed
G12_7T6B,api_gateways,data/api/v1/systems/G12_7T6B/gateways.json,yes,8188,84c5b1b29804e46383ae918b7c0c5116264b44405522f41061d8f5f8afaeac67,computed
G12_7T6B,api_gprotein,data/api/v1/systems/G12_7T6B/gprotein_metrics.json,yes,185573,96a0f6382a27574856c7ee46459a82c3575037d9fe39f2121ee4d9a395f233f8,computed
G12_7T6B,api_pocketgrid,data/api/v1/systems/G12_7T6B/pocketgrid.npz,yes,7199230,,pending_binary_or_large_file
G12_7T6B,chain_roles,data/chain_roles/G12_7T6B_chain_roles.json,yes,383,fbb8a78867bac83a77f89877c22e994ae738861fcdafa0215cb909ee54bb33ef,computed
G12_7T6B,contacts,data/contacts/G12_7T6B_contacts.parquet,yes,49347,,pending_binary_or_large_file
G12_8IKL,viz_structure,data/viz/G12_8IKL/structure.pdb,yes,1135458,,pending_binary_or_large_file
G12_8IKL,viz_trajectory,data/viz/G12_8IKL/traj.xtc,yes,133306780,,pending_binary_or_large_file
G12_8IKL,api_index,data/api/v1/systems/G12_8IKL/index.json,yes,1350,df7284020818512ba128625c69ec426a86ce36a73ea4ff08db8bd1a8d9caa182,computed
G12_8IKL,api_pockets,data/api/v1/systems/G12_8IKL/pockets.json,yes,6688,0b1d0a118d54d8e070d4d70143088c77725252088a6bea3b3fc62e41f81b1e31,computed
G12_8IKL,api_pockets_gpcrdb,data/api/v1/systems/G12_8IKL/pockets_gpcrdb.json,yes,10628,60b057485e3c9e1d241cdcc48bbb0a609f5f1532340a68e1db24c999dd827ec2,computed
G12_8IKL,api_gateways,data/api/v1/systems/G12_8IKL/gateways.json,yes,8161,3dae5f0f7ce937211d374a37d0768486812a5d531ae510afc7ad1779f1c5ac0e,computed
G12_8IKL,api_gprotein,data/api/v1/systems/G12_8IKL/gprotein_metrics.json,yes,110945,8467c094875409d44cd363a9b35534ac82a75772838a5f41e7ebf8833ad5d477,computed
G12_8IKL,api_pocketgrid,data/api/v1/systems/G12_8IKL/pocketgrid.npz,yes,5981982,,pending_binary_or_large_file
G12_8IKL,chain_roles,data/chain_roles/G12_8IKL_chain_roles.json,yes,382,883c3cb60004cd39513b55af3f0df55b554b5fbd9526e5fdc29afe5494918499,computed
G12_8IKL,contacts,data/contacts/G12_8IKL_contacts.parquet,yes,39977,,pending_binary_or_large_file
G12_8KGG,viz_structure,data/viz/G12_8KGG/structure.pdb,yes,1177497,,pending_binary_or_large_file
G12_8KGG,viz_trajectory,data/viz/G12_8KGG/traj.xtc,yes,138139912,,pending_binary_or_large_file
G12_8KGG,api_index,data/api/v1/systems/G12_8KGG/index.json,yes,1472,c932f17be0082803d7ffafc3de13abf6a86143c25dd1d893ddc1b6be1a12a83f,computed
G12_8KGG,api_pockets,data/api/v1/systems/G12_8KGG/pockets.json,yes,7092,f9fa4397a50afaa202a2df2304c40b96db5bf7d8c602a6d5d78a13d90cba6c9e,computed
G12_8KGG,api_pockets_gpcrdb,data/api/v1/systems/G12_8KGG/pockets_gpcrdb.json,yes,11739,7697aac244b2a8f585cdaf1d9ea706de05817abab08f1aa07c911c21e133e22e,computed
G12_8KGG,api_gateways,data/api/v1/systems/G12_8KGG/gateways.json,yes,8197,8becc75d678439ad75f255f224233a91fac84c3af7b57885e009fe0cfa11401e,computed
G12_8KGG,api_gprotein,data/api/v1/systems/G12_8KGG/gprotein_metrics.json,yes,110995,5f88a10e6da602851828a3160d193a73bae3769db73a830184631e2e5ba13304,computed
G12_8KGG,api_pocketgrid,data/api/v1/systems/G12_8KGG/pocketgrid.npz,yes,6132350,,pending_binary_or_large_file
G12_8KGG,chain_roles,data/chain_roles/G12_8KGG_chain_roles.json,yes,382,0081854ff55101929932269e59101147530166460fc6a2bf2350715a7798c749,computed
G12_8KGG,contacts,data/contacts/G12_8KGG_contacts.parquet,yes,41297,,pending_binary_or_large_file
G12_9IY8,viz_structure,data/viz/G12_9IY8/structure.pdb,yes,1407780,,pending_binary_or_large_file
G12_9IY8,viz_trajectory,data/viz/G12_9IY8/traj.xtc,yes,164949224,,pending_binary_or_large_file
G12_9IY8,api_index,data/api/v1/systems/G12_9IY8/index.json,yes,1341,e06cb559fc6fd21e7fbeb5f54e3edfbdc884c70ec64bc194d209e1b33f08ee79,computed
G12_9IY8,api_pockets,data/api/v1/systems/G12_9IY8/pockets.json,yes,6168,83c66568fbe79ca6c6383a3c2ceb8a27b0e2e5f8438cd9a1718ccdd4e94287b8,computed
G12_9IY8,api_pockets_gpcrdb,data/api/v1/systems/G12_9IY8/pockets_gpcrdb.json,yes,9890,2420a69dd4885f2f24ea62ee9b63a9666fcdecd5836f02105f48a880a3653d08,computed
G12_9IY8,api_gateways,data/api/v1/systems/G12_9IY8/gateways.json,yes,8204,9783ca3b5da139f7d5e3a52cd93769e41afa420aa96d07107975d9d3131ea05a,computed
G12_9IY8,api_gprotein,data/api/v1/systems/G12_9IY8/gprotein_metrics.json,yes,185751,eec2dc8ce2425117211794d0c6a6d705a4cd900b4da24d3e31e20bb048849d3c,computed
G12_9IY8,api_pocketgrid,data/api/v1/systems/G12_9IY8/pocketgrid.npz,yes,6301630,,pending_binary_or_large_file
G12_9IY8,chain_roles,data/chain_roles/G12_9IY8_chain_roles.json,yes,383,27bdfe8e01a30ce3ecf50609f8b1d53ffe63e0895fb33847827f7188c76d93e1,computed
G12_9IY8,contacts,data/contacts/G12_9IY8_contacts.parquet,yes,49829,,pending_binary_or_large_file
Gi_6CMO,viz_structure,data/viz/Gi_6CMO/structure.pdb,yes,1372383,,pending_binary_or_large_file
Gi_6CMO,viz_trajectory,data/viz/Gi_6CMO/traj.xtc,yes,160819384,,pending_binary_or_large_file
Gi_6CMO,api_index,data/api/v1/systems/Gi_6CMO/index.json,yes,1315,2d48caa85575baa058b1e9bfb4a3f92532fa3b991d1bbb3eb21b8b4e036d0117,computed
Gi_6CMO,api_pockets,data/api/v1/systems/Gi_6CMO/pockets.json,yes,8064,7841d98da5dbf2008c684ae3f6fec4cd625e965995f06a489ac8e9c42e99ded5,computed
Gi_6CMO,api_pockets_gpcrdb,data/api/v1/systems/Gi_6CMO/pockets_gpcrdb.json,yes,12587,c7cff33231f740e69b8ccdd4eca58ddba3c9a68f41a9b61678179eb7fbf52976,computed
Gi_6CMO,api_gateways,data/api/v1/systems/Gi_6CMO/gateways.json,yes,8072,306a56b8a42cb797b3ebfed41be93f590e8da448279c4dcca29ae6792ca8287a,computed
Gi_6CMO,api_gprotein,data/api/v1/systems/Gi_6CMO/gprotein_metrics.json,yes,175190,aae774edb19d4d81c1f36b83000965a7dc373b6869717014d481de5f99f77cb7,computed
Gi_6CMO,api_pocketgrid,data/api/v1/systems/Gi_6CMO/pocketgrid.npz,yes,6160510,,pending_binary_or_large_file
Gi_6CMO,chain_roles,data/chain_roles/Gi_6CMO_chain_roles.json,yes,382,213787522c76afaa29e931f734e5b8671b9c377e05020ec3f0b056e86f9beb1a,computed
Gi_6CMO,contacts,data/contacts/Gi_6CMO_contacts.parquet,yes,49890,,pending_binary_or_large_file
Gi_6D9H,viz_structure,data/viz/Gi_6D9H/structure.pdb,yes,1369964,,pending_binary_or_large_file
Gi_6D9H,viz_trajectory,data/viz/Gi_6D9H/traj.xtc,yes,160946044,,pending_binary_or_large_file
Gi_6D9H,api_index,data/api/v1/systems/Gi_6D9H/index.json,yes,1352,4a4f098a72c44f9bdba4206585614837bf94a850795c1e3e04f5283432462c0c,computed
Gi_6D9H,api_pockets,data/api/v1/systems/Gi_6D9H/pockets.json,yes,6639,1d598e9431f8109edae8fbaf3b65f7943ef5388eb3429d07285e8c679d7e6a91,computed
Gi_6D9H,api_pockets_gpcrdb,data/api/v1/systems/Gi_6D9H/pockets_gpcrdb.json,yes,10783,69b1171f4a3154ff65750ad9acd3525ed58aecc34e14c22a3e1d7fd1cd7e0f68,computed
Gi_6D9H,api_gateways,data/api/v1/systems/Gi_6D9H/gateways.json,yes,8047,e2c5c6b12cef29fa386ddf04843d5b48bef149932d13d6e95695796f10c4c9b9,computed
Gi_6D9H,api_gprotein,data/api/v1/systems/Gi_6D9H/gprotein_metrics.json,yes,95,e6ddc8639eb916952c207512e3ea54980171c2085124da6b6241167e0686a3e2,computed
Gi_6D9H,api_pocketgrid,data/api/v1/systems/Gi_6D9H/pocketgrid.npz,yes,6539710,,pending_binary_or_large_file
Gi_6D9H,chain_roles,data/chain_roles/Gi_6D9H_chain_roles.json,yes,461,6a16c9b51d7cde1ddde4af940859142d0d69af445380daedf57aa1ce8f2e2798,computed
Gi_6D9H,contacts,data/contacts/Gi_6D9H_contacts.parquet,no,,,missing
Gi_6G79,viz_structure,data/viz/Gi_6G79/structure.pdb,yes,1387125,,pending_binary_or_large_file
Gi_6G79,viz_trajectory,data/viz/Gi_6G79/traj.xtc,yes,163208668,,pending_binary_or_large_file
Gi_6G79,api_index,data/api/v1/systems/Gi_6G79/index.json,yes,1425,2c01c7d52f894c90244405c037436c4ce091925587f12cca7d6c5a5f6af4e944,computed
Gi_6G79,api_pockets,data/api/v1/systems/Gi_6G79/pockets.json,yes,5679,1a2ed1e57e3ac201eb40f82442fd01e783864e300d4c5e4463d5b844356f146c,computed
Gi_6G79,api_pockets_gpcrdb,data/api/v1/systems/Gi_6G79/pockets_gpcrdb.json,yes,9340,d7e981640de6e644ac9195c75d221e206ddb970eda6fddaaecea217e4ba4ab05,computed
Gi_6G79,api_gateways,data/api/v1/systems/Gi_6G79/gateways.json,yes,8024,83ab53ff7483cd8f63d297e8e0d5573da387d10225c2832457a682823d2eaf01,computed
Gi_6G79,api_gprotein,data/api/v1/systems/Gi_6G79/gprotein_metrics.json,yes,173044,f1e81d1cd52a71bcf8fa9bc250b9336167118161cdef56f89596bdc7ca7d74d6,computed
Gi_6G79,api_pocketgrid,data/api/v1/systems/Gi_6G79/pocketgrid.npz,yes,7624830,,pending_binary_or_large_file
Gi_6G79,chain_roles,data/chain_roles/Gi_6G79_chain_roles.json,yes,382,6e9ecb3021d3fd74c06a249cb8650613ddb1eb40d9f186281d47405a9ad4d685,computed
Gi_6G79,contacts,data/contacts/Gi_6G79_contacts.parquet,yes,54001,,pending_binary_or_large_file
Gi_6K42,viz_structure,data/viz/Gi_6K42/structure.pdb,yes,1496799,,pending_binary_or_large_file
Gi_6K42,viz_trajectory,data/viz/Gi_6K42/traj.xtc,yes,176136064,,pending_binary_or_large_file
Gi_6K42,api_index,data/api/v1/systems/Gi_6K42/index.json,yes,1383,772c5523eb9ef9bf1f058064e823b36918f2cb68736e96fe8ec8c0d32e0f1f5a,computed
Gi_6K42,api_pockets,data/api/v1/systems/Gi_6K42/pockets.json,yes,7307,596cb9aef9d7262aaeaa2b0455522ab8812164d4c6199a36149665d7a13d4b2b,computed
Gi_6K42,api_pockets_gpcrdb,data/api/v1/systems/Gi_6K42/pockets_gpcrdb.json,yes,12504,a36f813fd9386d804c9b546d6803a1a74e24cbdbe7c17648efc28a37914a952a,computed
Gi_6K42,api_gateways,data/api/v1/systems/Gi_6K42/gateways.json,yes,8043,8dba03692eefd03a595a99ac783154fa04001a3099ebdf157fe56d63081968eb,computed
Gi_6K42,api_gprotein,data/api/v1/systems/Gi_6K42/gprotein_metrics.json,yes,173696,0dae05dcc1c13aa721c4940bbf7140f0e8097ac105b36f860915fc9bf25f78e0,computed
Gi_6K42,api_pocketgrid,data/api/v1/systems/Gi_6K42/pocketgrid.npz,yes,13838334,,pending_binary_or_large_file
Gi_6K42,chain_roles,data/chain_roles/Gi_6K42_chain_roles.json,yes,382,f700e6f33bc419cf5731caee59205c26bab60dbf9d50f3a4a2f8af05f98cdd3c,computed
Gi_6K42,contacts,data/contacts/Gi_6K42_contacts.parquet,yes,53751,,pending_binary_or_large_file
Gi_6LFO,viz_structure,data/viz/Gi_6LFO/structure.pdb,yes,1459458,,pending_binary_or_large_file
Gi_6LFO,viz_trajectory,data/viz/Gi_6LFO/traj.xtc,yes,171816256,,pending_binary_or_large_file
Gi_6LFO,api_index,data/api/v1/systems/Gi_6LFO/index.json,yes,1331,dda40282978e6609b2f163d8574d850c34e51972d250d915225b76d2399f197a,computed
Gi_6LFO,api_pockets,data/api/v1/systems/Gi_6LFO/pockets.json,yes,7753,2c0e0b60f1c7087e3cc2905e4fca83ad4803cc6a228553bc6a5b85f25beb62dd,computed
Gi_6LFO,api_pockets_gpcrdb,data/api/v1/systems/Gi_6LFO/pockets_gpcrdb.json,yes,12693,41b252224a8e267a41238f743ac0e596a6009b4e8c2fccf8f76ac83550f9f035,computed
Gi_6LFO,api_gateways,data/api/v1/systems/Gi_6LFO/gateways.json,yes,8090,cd8d1b03c467aa238c3c59899effb9f25a450b76d7bf3dd640a256256d466290,computed
Gi_6LFO,api_gprotein,data/api/v1/systems/Gi_6LFO/gprotein_metrics.json,yes,174905,aec76f6f3b0baa6954ad8fc0c1e3f7a519e88e8a5f00ac3249737d9b02a60233,computed
Gi_6LFO,api_pocketgrid,data/api/v1/systems/Gi_6LFO/pocketgrid.npz,yes,8019070,,pending_binary_or_large_file
Gi_6LFO,chain_roles,data/chain_roles/Gi_6LFO_chain_roles.json,yes,469,70d61d4b838df902b9a1f57f55f7dbf3688afb49f837ef45a2300193a298607b,computed
Gi_6LFO,contacts,data/contacts/Gi_6LFO_contacts.parquet,yes,49870,,pending_binary_or_large_file
Gi_6OSA,viz_structure,data/viz/Gi_6OSA/structure.pdb,yes,1377486,,pending_binary_or_large_file
Gi_6OSA,viz_trajectory,data/viz/Gi_6OSA/traj.xtc,yes,161491608,,pending_binary_or_large_file
Gi_6OSA,api_index,data/api/v1/systems/Gi_6OSA/index.json,yes,1327,6912781bee1efd3e551edc6c2ee5ba79fbfe579c4e0672a0cf30be1166ec2e26,computed
Gi_6OSA,api_pockets,data/api/v1/systems/Gi_6OSA/pockets.json,yes,6798,fa2a602eb54829d6b950c5231c57cecbe3cd48d705e00215c44afc5bf3b1b0cd,computed
Gi_6OSA,api_pockets_gpcrdb,data/api/v1/systems/Gi_6OSA/pockets_gpcrdb.json,yes,11222,c7e3f4d4b857e705cc517b6f9741cef6d689fab6a01ea5136045ee469ba28392,computed
Gi_6OSA,api_gateways,data/api/v1/systems/Gi_6OSA/gateways.json,yes,8088,152100d362c97acaa498055114ad13f21d0f63614922220bb0fbbd9ce5775efe,computed
Gi_6OSA,api_gprotein,data/api/v1/systems/Gi_6OSA/gprotein_metrics.json,yes,173863,379dc1fd3fbba2a5da3267fcc9f86d472ee448e6e51c130f05872b2b3dbb37d3,computed
Gi_6OSA,api_pocketgrid,data/api/v1/systems/Gi_6OSA/pocketgrid.npz,yes,6486990,,pending_binary_or_large_file
Gi_6OSA,chain_roles,data/chain_roles/Gi_6OSA_chain_roles.json,yes,467,a69913bafd58069b073930a5ce328899ae6a4d193af7245d727fee482da220d7,computed
Gi_6OSA,contacts,data/contacts/Gi_6OSA_contacts.parquet,yes,48901,,pending_binary_or_large_file
Gi_6PT0,viz_structure,data/viz/Gi_6PT0/structure.pdb,yes,1353753,,pending_binary_or_large_file
Gi_6PT0,viz_trajectory,data/viz/Gi_6PT0/traj.xtc,yes,159156872,,pending_binary_or_large_file
Gi_6PT0,api_index,data/api/v1/systems/Gi_6PT0/index.json,yes,1432,ee68c507673b583f1ab2bade19c92f89fea1b155e3c796ef109dd6957f351182,computed
