system_id,pdb_id,receptor_name,receptor_uniprot,gpcr_class,g_protein_family,g_alpha_subtype,n_replicas,length_per_replica_ns,total_sampling_ns,structural_provenance,hold_reason,rerun_status,notes
G12_8H8J,8H8J,G-protein coupled receptor 35,Q9HC97,A,G12-13,Guanine nucleotide-binding protein subunit alpha-1,3,500.0,1500.0,experimental,temporary/incomplete source files flagged; hold for rerun or source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,12 temp/incomplete files (#-prefixed) present; API receptor_name='G-protein coupled receptor 35' differs from existing; TRR with vel+forces: prod1_now.trr
Gi_7E32,7E32,5-hydroxytryptamine receptor 1D,P28221,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,260.0,780.0,experimental,nonstandard trajectory length recorded as 3 x 260 ns; hold from 3 x 500 ns clean cohort,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,
Gi_7JVR,7JVR,D(2) dopamine receptor,P14416,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,temporary/incomplete source file flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gi_7VUG,7VUG,Probable G-protein coupled receptor 139,Q6DWJ6,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,temporary/incomplete source files flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,4 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gi_7YK6,7YK6,Relaxin-3 receptor 2,Q8TDU9,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,temporary/incomplete source file flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gi_8HK2,8HK2,C3a anaphylatoxin chemotactic receptor,Q16581,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,2.0,6.0,experimental,trajectory length recorded as 3 x 2 ns; likely incomplete or metadata anomaly; verify/rerun,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,
Gi_8X16,8X16,Adenosine receptor A3,P0DMS8,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,temporary/incomplete source files flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,3 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gi_8YIC,8YIC,Sphingosine 1-phosphate receptor 1,P21453,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,temporary/incomplete source files flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,2 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gq_7RAN,7RAN,5-hydroxytryptamine receptor 2A,P28223,A,Gq,Gαq,3,500.0,1500.0,experimental,missing processed pocket/grid outputs in current audit; hold until archive completeness check passes,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,
Gq_7RYC,7RYC,Oxytocin receptor,P30559,A,Gq,Guanine nucleotide-binding protein G(I)/G(S)/G(O) ,3,500.0,1500.0,experimental,missing processed pocket/grid outputs in current audit; hold until archive completeness check passes,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,
Gq_7XXH,7XXH,P2Y purinoceptor 1,P47900,A,Gq,Guanine nucleotide-binding protein G(11) subunit a,3,500.0,1500.0,experimental,temporary/incomplete source file flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,1 temp/incomplete files (#-prefixed) present
Gq_8DPF,8DPF,5-hydroxytryptamine receptor 2C,P28335,A,Gq,Gαi2,3,500.0,1500.0,experimental,temporary/incomplete source files flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,3 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
Gq_8J9N,8J9N,Frizzled-1,Q9UP38,A,Gq,Guanine nucleotide-binding protein G(s) subunit al,6,500.0,3000.0,experimental,nonstandard 6-replica entry and missing processed pocket/grid outputs; hold pending verification,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,
Gs_7VUH,7VUH,Probable G-protein coupled receptor 139,Q6DWJ6,A,Gs,Isoform Gnas-2 of Guanine nucleotide-binding prote,3,500.0,1500.0,experimental,temporary/incomplete source file flagged; hold for source cleanup,pending verification/rerun; exclude from initial Scientific Data clean-v1 release,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
