Cluster ID,Member systems (n),Unique pockets (n),Mean occupancy frequency,Zone(s),Core generic positions,Gi/o (n),Gs (n),Gq/11 (n),G12/13 (n),Member system IDs
0,29,29,0.899,"{""tm_core_allosteric"": 27, ""intracellular_allosteric"": 2}",3.43x43;7.49x49;6.44x44;7.45x45;6.40x40;7.53x53;6.43x43;6.41x41;7.52x52;6.48x48;3.50x50;5.58x58,13,2,13,1,G12_7T6B;Gi_7EW1;Gi_7NA7;Gi_7TUZ;Gi_7WQ3;Gi_7WU9;Gi_7X9A;Gi_7XBX;Gi_8HS3;Gi_8ID9;Gi_8IRU;Gi_8IY5;Gi_8K6O;Gi_8ZQE;Gq_7EZM;Gq_7F8W;Gq_7F9Z;Gq_7P00;Gq_7SRR;Gq_7XW9;Gq_7Y26;Gq_8H0P;Gq_8HCQ;Gq_8HCX;Gq_8IUK;Gq_8WZ2;Gq_8Y53;Gs_8I2G;Gs_8XVI
1,4,4,0.898,"{""intracellular_allosteric"": 4}",2.50x50;8.47x47;7.57x57;6.48x48;7.56x56;2.46x46;6.45x45;2.47x47;3.50x50;6.44x44;7.58x58;1.61x61;3.54x54;6.43x43;8.48x48;8.49x49;2.49x49;6.41x41,1,2,0,1,G12_8IKL;Gi_6LML;Gs_6PB0;Gs_6PB1
2,13,13,0.896,"{""tm_core_allosteric"": 5, ""intracellular_allosteric"": 8}",7.53x53;3.50x50;2.39x39;8.47x47;3.46x46;2.43x43;2.40x40;3.49x49;8.50x50;2.38x38,7,4,2,0,Gi_6K42;Gi_7YU8;Gi_8EFO;Gi_8KFX;Gi_8PJK;Gi_8X8L;Gi_8YNA;Gq_7XJL;Gq_8WST;Gs_7KH0;Gs_8HJ1;Gs_8HNK;Gs_8SMV
3,4,4,0.875,"{""intracellular_allosteric"": 4}",6.29x29;6.25x25;6.32x32;6.30x30;6.26x26;6.28x28;7.56x56;6.33x33;6.27x27,4,0,0,0,Gi_6OSA;Gi_7XK8;Gi_8F7S;Gi_8K6O
4,3,3,0.886,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 1}",5.47x47;6.53x53;6.51x51;6.52x52;6.54x54;5.48x48;5.50x50;6.55x55;6.56x56;6.49x49;6.50x50;6.48x48,2,1,0,0,Gi_8HS3;Gi_9AST;Gs_6WZG
5,18,18,0.886,"{""tm_core_allosteric"": 15, ""intracellular_allosteric"": 3}",3.41x41;3.44x44;5.53x53;3.45x45;5.49x49;5.50x50;3.48x48;4.49x49,10,7,1,0,Gi_6OSA;Gi_7CMV;Gi_7E2X;Gi_7TUZ;Gi_7WVX;Gi_7X5H;Gi_7X9C;Gi_8XZI;Gi_8YNA;Gi_9AST;Gq_8XOJ;Gs_7XT8;Gs_8F76;Gs_8IRV;Gs_8W87;Gs_8W8Q;Gs_8YN2;Gs_8YUV
6,4,4,0.896,"{""tm_core_allosteric"": 4}",4.54x54;3.31x31;3.27x27;3.34x34;4.57x57;2.52x52,3,0,1,0,Gi_7EW4;Gi_7VIF;Gi_7VL9;Gq_8XOR
7,8,8,0.885,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 6}",3.49x49;2.38x38;2.42x42;4.45x45;4.42x42;3.52x52;2.39x39,2,2,4,0,Gi_6OSA;Gi_7WU9;Gq_7SRR;Gq_8HCQ;Gq_8XOR;Gq_8Y53;Gs_7KH0;Gs_8XVI
8,5,5,0.879,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 3}",2.41x41;1.57x57;2.40x40;2.44x44;2.37x37,2,0,3,0,Gi_8IRU;Gi_9IIX;Gq_7XXH;Gq_8F7X;Gq_8ZPT
9,3,3,0.913,"{""tm_core_allosteric"": 2, ""intracellular_allosteric"": 1}",6.40x41;6.43x44;2.50x50;7.53x53;3.43x43;7.52x52;3.50x50;7.49x49;3.46x46;2.46x46;3.40x40;6.41x42;7.54x54;3.42x42;6.39x40;3.47x47;6.48x48;6.44x45;6.45x46;3.39x39;7.46x46;7.45x45;6.47x47;5.58x58,1,1,1,0,Gi_8J21;Gq_8XOR;Gs_8H4I
