System ID,Receptor,G-protein family,Total pockets (fpocket),Druggable consensus clusters,N druggable clusters,Orthosteric consensus clusters,N orthosteric clusters
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,10,0;56,2,7,1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,14,1;37,2,none,0
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,13,11;12,2,27,1
G12_9IY8,G-protein coupled receptor 55,G12-13,9,19;47,2,1,1
Gi_6CMO,Rhodopsin,Gi,13,50,1,none,0
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,12,none,0,none,0
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,9,none,0,1,1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,14,2;11;22;26;68,5,1,1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,11,11;15;50,3,none,0
Gi_6OSA,Neurotensin receptor type 1,Gi,11,3;5;7;19,4,none,0
Gi_6PT0,Cannabinoid receptor 2,Gi,10,10;45,2,7,1
Gi_6WWZ,C-C chemokine receptor type 6,Gi,10,22;48;50,3,none,0
Gi_7CMV,D(3) dopamine receptor,Gi,13,5,1,1,1
Gi_7E2X,5-hydroxytryptamine receptor 1A,Gi,8,5;50;55,3,13,1
Gi_7E33,5-hydroxytryptamine receptor 1E,Gi,12,44;69,2,1,1
Gi_7EJX,G protein-coupled receptor 88,Gi,12,none,0,none,0
Gi_7EW1,Sphingosine 1-phosphate receptor 5,Gi,18,0;19;22;43,4,7,1
Gi_7EW4,Sphingosine 1-phosphate receptor 3,Gi,6,6,1,7,1
Gi_7EXD,5-hydroxytryptamine receptor 1F,Gi,7,22,1,1,1
Gi_7EZH,Cholecystokinin receptor type A,Gi,11,69,1,2,1
Gi_7F1Q,C-C chemokine receptor type 5,Gi,13,16;68,2,none,0
Gi_7F8V,Gastrin/cholecystokinin type B receptor,Gi,9,22;56,2,none,0
Gi_7NA7,Growth hormone secretagogue receptor type 1,Gi,10,0;22,2,none,0
Gi_7QVM,Oxytocin receptor,Gi,8,43;82,2,none,0
Gi_7SQO,Orexin receptor type 2,Gi,11,18,1,1,1
Gi_7T10,Somatostatin receptor type 2,Gi,8,none,0,12,1
Gi_7T96,Muscarinic acetylcholine receptor M2,Gi,10,17,1,none,0
Gi_7TUZ,G-protein coupled receptor 183,Gi,11,0;5,2,1,1
Gi_7V68,Muscarinic acetylcholine receptor M4,Gi,0,none,0,none,0
Gi_7VDL,Mas-related G-protein coupled receptor member X2,Gi,9,none,0,none,0
Gi_7VGZ,Melatonin receptor type 1A,Gi,10,11;48,2,1,1
Gi_7VH0,Melatonin receptor type 1B,Gi,15,none,0,none,0
Gi_7VIF,Sphingosine 1-phosphate receptor 1,Gi,10,6;21,2,7,1
Gi_7VKT,Leukotriene B4 receptor 1,Gi,10,none,0,none,0
Gi_7VL9,C-C chemokine receptor type 1,Gi,10,6;15;50,3,none,0
Gi_7W0N,Apelin receptor,Gi,10,11,1,1,1
Gi_7W6P,Alpha-2A adrenergic receptor,Gi,11,11;22;68,3,1,1
Gi_7WQ3,Galanin receptor type 1,Gi,11,0,1,1,1
Gi_7WU9,Prostaglandin E2 receptor EP3 subtype,Gi,10,0;7;23,3,none,0
Gi_7WV9,Cannabinoid receptor 1,Gi,8,11,1,11,1
Gi_7WVU,N-formyl peptide receptor 1,Gi,11,11,1,1,1
Gi_7WVX,N-formyl peptide receptor 2,Gi,17,5;49,2,12,1
Gi_7X5H,5-hydroxytryptamine receptor 5A,Gi,11,5,1,1,1
Gi_7X9A,Neuropeptide Y receptor type 1,Gi,12,0;26;37,3,8;14,2
Gi_7X9C,Neuropeptide Y receptor type 4,Gi,12,5;11;22,3,none,0
Gi_7X9Y,C-C chemokine receptor type 3,Gi,10,50,1,none,0
Gi_7XA3,C-C chemokine receptor type 2,Gi,12,49;50,2,none,0
Gi_7XBX,CX3C chemokine receptor 1,Gi,10,0;11;20,3,none,0
Gi_7XK2,Hydroxycarboxylic acid receptor 2,Gi,8,none,0,0,1
Gi_7XK8,Neuromedin-U receptor 2,Gi,11,3;16,2,none,0
Gi_7XMS,Somatostatin receptor type 4,Gi,11,16;22,2,none,0
Gi_7XTA,5-hydroxytryptamine receptor 4,Gi,6,none,0,none,0
Gi_7XXI,P2Y purinoceptor 12,Gi,8,33,1,none,0
Gi_7Y12,Mas-related G-protein coupled receptor member D,Gi,10,13;16,2,19,1
Gi_7Y89,Uracil nucleotide/cysteinyl leukotriene receptor,Gi,7,none,0,none,0
Gi_7YK7,Relaxin-3 receptor 2,Gi,12,none,0,none,0
Gi_7YKD,Chemerin-like receptor 1,Gi,9,none,0,none,0
Gi_7YON,Neuropeptide Y receptor type 2,Gi,13,16;22;26,3,5,1
Gi_7YU8,Lysophosphatidic acid receptor 1,Gi,9,2;11,2,7,1
Gi_8DZQ,Kappa-type opioid receptor,Gi,11,none,0,none,0
Gi_8EFO,Mu-type opioid receptor,Gi,9,2,1,1,1
Gi_8F7S,Delta-type opioid receptor,Gi,11,3;38,2,12,1
Gi_8HK5,C5a anaphylatoxin chemotactic receptor 1,Gi,12,none,0,none,0
Gi_8HQM,Probable G-protein coupled receptor 132,Gi,7,69,1,0,1
Gi_8HS3,G-protein coupled receptor 20,Gi,11,0;4;27,3,none,0
Gi_8IC0,C-X-C chemokine receptor type 1,Gi,8,none,0,none,0
Gi_8ID9,Free fatty acid receptor 4,Gi,9,0;82,2,1,1
Gi_8IHJ,Hydroxycarboxylic acid receptor 3,Gi,11,12,1,0,1
Gi_8IRU,D(4) dopamine receptor,Gi,12,0;8;11;22,4,1,1
Gi_8IU2,Long-wave-sensitive opsin 1,Gi,8,none,0,1,1
Gi_8IY5,Endothelin receptor type B,Gi,11,0;26,2,3;22,2
Gi_8J18,G-protein coupled receptor 84,Gi,11,22,1,1,1
Gi_8J21,Free fatty acid receptor 3,Gi,8,9;70,2,3,1
Gi_8J22,Free fatty acid receptor 2,Gi,0,none,0,none,0
Gi_8J6D,C3a anaphylatoxin chemotactic receptor,Gi,5,34,1,none,0
