system_id,g_protein_family,n_replicas,baseline_n_ready,baseline_n_hold,baseline_n_review,baseline_status,baseline_replica_statuses,baseline_notes,readiness_status,three_good_ready,readiness_action,evidence_group,evidence_source,evidence_note,qc_category,timestamp_reset_interpretation,included_in_release
G12_7SF7,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
G12_7SF8,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
G12_7T6B,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
G12_8IKL,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
G12_8KGG,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
G12_9IY8,G12-13,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6CMO,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6D9H,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6G79,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6K42,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6LFO,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6LML,Gi,3,0,0,3,REVIEW,rep1=REVIEW | rep2=REVIEW | rep3=REVIEW,REVIEW_DISSOCIATION,READY,True,PROMOTED_THREE_GOOD,corrected_role_audit,trajectory_readiness/corrected_role_audit/corrected_role_system_audit.csv,rep1=GOOD | rep2=GOOD | rep3=GOOD,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6OSA,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6PT0,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_6WWZ,Gi,3,0,3,0,HOLD,rep1=HOLD | rep2=HOLD | rep3=HOLD,HOLD_PBC,READY,True,PROMOTED_THREE_GOOD_20260714,corrected_interface_recovery,trajectory_readiness/interface_centered_pilot_20260713/Gi_6WWZ/three_replica_audit_corrected/candidate_system_audit.csv,3/3 interface-centered candidates GOOD,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7CMV,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7D77,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7E2X,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7E32,Gi,3,0,0,0,EXCLUDED_METADATA,rep1=EXCLUDED | rep2=EXCLUDED | rep3=EXCLUDED,inventory length contradicted by measured trajectory length,READY,True,PROMOTED_THREE_GOOD,excluded_metadata_exhaustive,trajectory_readiness/strict_full_length_replica_audit.csv;trajectory_readiness/component_audit_summary_nc.csv;trajectory_readiness/time_axis_audit.csv;trajectory_readiness/rmsd_summary.csv,stale 260-ns inventory entry; 3/3 measured 499.9-ns spans; component max step 4.21 A; interface max 5.39 A; RMSD max step 0.649 A,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7E33,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7EJX,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7EW1,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7EW4,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7EXD,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7EZH,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7F1Q,Gi,3,0,3,0,HOLD,rep1=HOLD | rep2=HOLD | rep3=HOLD,HOLD_PBC,READY,True,PROMOTED_THREE_GOOD_20260714,corrected_interface_recovery,trajectory_readiness/amber_three_replica_repair_20260713/exhaustive_audit_corrected_receptor_fragments/candidate_system_audit.csv,3/3 GOOD after corrected combined-receptor audit,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7F8V,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
Gi_7NA7,Gi,3,3,0,0,READY,rep1=READY | rep2=READY | rep3=READY,,READY,True,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,,release-ready trajectory set,diagnostic_only_not_failure,True
