metric,value,notes
systems_audited,208,clean-v1 systems in VIZ_PBC_FULL_AUDIT.csv
status_OK,205,no worst issue detected in reduced visualization PBC audit
status_WARN,3,"minor scatter warnings only; no atom mismatch, box mismatch, intra-chain break or inter-chain split"
atom_count_mismatch,0,PDB and XTC atom counts should match
blank_elements,0,blank PDB element fields after visualization preparation
box_mismatch,0,PDB and trajectory box mismatch flag
intra_break_frames,0,frames with intrachain breaks across checked frames
scatter_frames,7,minor scatter frames across checked-frame sample
inter_chain_split_frames,0,frames with inter-chain split across checked frames
n_frames_2500,205,expected reduced trajectory frame count
n_frames_2501,2,one extra frame retained in reduced visualization trajectory
n_frames_200,1,shorter reduced visualization trajectory; production metadata remains 3 x 500 ns
