receptor,uniprot,famA,famB,contrast,n_pk_A,n_pk_B,n_union,n_shared,jaccard,gateway_dist,tilt_A,tilt_B,dtilt,n_portals,sid_A,sid_B,jaccard_dist,jaccard_sim,gw_ci_lo,gw_ci_hi,gateway_above_null_p95
SSTR2,P30874,Gi,Gq,Gi-Gq,1,3,4,0,1.0,0.0699999999999999,69.635891,60.022863,9.613028,7,Gi_7T10,Gq_7Y26,1.0,0.0,0.027714285714285723,0.11300357142857137,False
NMUR2,Q9GZQ4,Gi,Gq,Gi-Gq,2,1,3,0,1.0,0.0595714285714285,31.610157,72.091784,40.481627,7,Gi_7XK8,Gq_7W55,1.0,0.0,0.04842499999999999,0.07186071428571425,False
CCKAR,P32238,Gi,Gq,Gi-Gq,2,3,4,1,0.75,0.0364285714285714,58.497194,48.179533,10.317661,7,Gi_7EZH,Gq_7EZM,0.75,0.25,0.009999999999999993,0.07543214285714284,False
CCKBR,P32239,Gi,Gq,Gi-Gq,2,3,4,1,0.75,0.0385714285714285,40.217293,37.89368,2.3236129999999946,7,Gi_7F8V,Gq_7F8W,0.75,0.25,0.016857142857142873,0.06814285714285714,False
GHSR,Q92847,Gi,Gq,Gi-Gq,2,2,3,1,0.6666666666666667,0.0832857142857142,51.193977,73.137837,21.943860000000008,7,Gi_7NA7,Gq_7F9Z,0.6666666666666667,0.33333333333333326,0.0397142857142857,0.15271785714285713,False
FFAR4,Q5NUL3,Gi,Gq,Gi-Gq,3,1,3,1,0.6666666666666667,0.0754285714285714,,33.213647,,7,Gi_8ID9,Gq_8IYS,0.6666666666666667,0.33333333333333326,0.04071428571428571,0.11729642857142851,False
EDNRB,P24530,Gi,Gq,Gi-Gq,4,3,5,2,0.6,0.1029285714285714,40.731296,37.542288,3.189008000000001,7,Gi_8IY5,Gq_8HCQ,0.6,0.4,0.03457142857142858,0.2535714285714286,False
OX2R,O43614,Gi,Gq,Gi-Gq,2,1,2,1,0.5,0.0511428571428571,53.8443,67.962081,14.117781,7,Gi_7SQO,Gq_7SR8,0.5,0.5,0.017425000000000006,0.09714285714285717,False
CRHR2,Q13324,Gi,Gs,Gi-Gs,2,2,4,0,1.0,0.0858571428571428,,,,7,Gi_7TS0,Gs_6PB1,1.0,0.0,0.01842857142857143,0.1712857142857143,False
FFAR4,Q5NUL3,Gi,Gs,Gi-Gs,3,4,6,1,0.8333333333333334,0.0731428571428571,,66.663087,,7,Gi_8ID9,Gs_8H4I,0.8333333333333334,0.16666666666666663,0.024707142857142875,0.12857142857142856,False
OX2R,O43614,Gi,Gs,Gi-Gs,2,1,2,1,0.5,0.0757142857142857,53.8443,60.593385,6.749085000000001,7,Gi_7SQO,Gs_7L1V,0.5,0.5,0.04313571428571432,0.10814642857142855,False
H1R,P35367,Gq,Gs,Gq-Gs,2,3,5,0,1.0,0.1102857142857142,46.992037,41.474054,5.517983000000001,7,Gq_7DFL,Gs_8YN2,1.0,0.0,0.05128571428571428,0.18014999999999992,False
P2Y1R,P47900,Gq,Gs,Gq-Gs,2,2,4,0,1.0,0.0768571428571428,68.661022,41.083306,27.577716,7,Gq_7XXH,Gs_8WJX,1.0,0.0,0.03142142857142857,0.13328571428571429,False
FFAR4,Q5NUL3,Gq,Gs,Gq-Gs,1,4,4,1,0.75,0.068,33.213647,66.663087,33.44944,7,Gq_8IYS,Gs_8H4I,0.75,0.25,0.04028571428571428,0.09857857142857139,False
NK1R,P25103,Gq,Gs,Gq-Gs,3,2,4,1,0.75,0.0888571428571428,62.908033,57.091927,5.816106000000005,7,Gq_7P00,Gs_7RMH,0.75,0.25,0.05214285714285714,0.1231464285714285,False
OX2R,O43614,Gq,Gs,Gq-Gs,1,1,1,1,0.0,0.1094285714285714,67.962081,60.593385,7.368696,7,Gq_7SR8,Gs_7L1V,0.0,1.0,0.04356785714285716,0.18542857142857144,False
