system_id,replica_id,release_selection_status,duration_ns,system_total_sampling_ns,qc_scope
G12_7SF7,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7SF7,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7SF7,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7SF8,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7SF8,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7SF8,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7T6B,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7T6B,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_7T6B,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8IKL,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8IKL,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8IKL,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8KGG,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8KGG,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_8KGG,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_9IY8,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_9IY8,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
G12_9IY8,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6CMO,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6CMO,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6CMO,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6D9H,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6D9H,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6D9H,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6G79,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6G79,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6G79,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6K42,1,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6K42,2,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
Gi_6K42,3,selected_validated,500,1500,release-readiness selection; frozen per-file archival QC pending manifest freeze
