method,path,summary,tags,manuscript_use
POST,/api/v1/accounts/delete,Delete Account Endpoint,,optional account/API-key workflow; not required for open access
POST,/api/v1/accounts/export,Export Account,,optional account/API-key workflow; not required for open access
POST,/api/v1/accounts/login,Login Account,,optional account/API-key workflow; not required for open access
POST,/api/v1/accounts/register,Register Account,,optional account/API-key workflow; not required for open access
GET,/api/v1/citation,Citation Info,,citation and reuse metadata
GET,/api/v1/citation.cff,Citation Cff,,citation and reuse metadata
GET,/api/v1/consensus/coupling,Consensus Coupling,,G-protein annotation/feature layer; avoid mechanistic overclaiming
GET,/api/v1/consensus/gateways,Consensus Gateways,,derived gateway metrics; use descriptively in Paper 1
GET,/api/v1/consensus/gprotein/barcode,Consensus Gprotein Barcode,,G-protein annotation/feature layer; avoid mechanistic overclaiming
GET,/api/v1/consensus/nominations,Consensus Nominations,,cross-system processed summaries
GET,/api/v1/consensus/pockets/druggable,Consensus Pockets Druggable,,pocket validation and derived-data reuse
GET,/api/v1/consensus/pockets/orthosteric,Consensus Pockets Orthosteric,,pocket validation and derived-data reuse
GET,/api/v1/consensus/reorg,Consensus Reorg,,cross-system processed summaries
GET,/api/v1/families,List Families,,portal/API support
GET,/api/v1/health,Health,,resource status and system count
POST,/api/v1/keys/request,Request Api Key,,optional account/API-key workflow; not required for open access
GET,/api/v1/systems,List Systems,,"system browsing, filtering and metadata retrieval"
GET,/api/v1/systems/{system_id},Get System,,"system browsing, filtering and metadata retrieval"
GET,/api/v1/systems/{system_id}/contacts,Get System Contacts,,portal/API support
GET,/api/v1/systems/{system_id}/gateways,Get System Gateways,,derived gateway metrics; use descriptively in Paper 1
GET,/api/v1/systems/{system_id}/gprotein,Get System Gprotein,,G-protein annotation/feature layer; avoid mechanistic overclaiming
GET,/api/v1/systems/{system_id}/pocketgrid,Get System Pocketgrid,,"system browsing, filtering and metadata retrieval"
GET,/api/v1/systems/{system_id}/pockets,Get System Pockets,,pocket validation and derived-data reuse
GET,/api/v1/systems/{system_id}/subunit-ranges,Get Subunit Ranges,,portal/API support
GET,/api/v1/systems/{system_id}/viz/meta,Get Viz Meta,,interactive visualization and reduced-trajectory access
GET,/api/v1/systems/{system_id}/viz/structure,Get Viz Structure,,interactive visualization and reduced-trajectory access
GET,/api/v1/systems/{system_id}/viz/trajectory,Get Viz Trajectory,,interactive visualization and reduced-trajectory access
