System ID,TM3-TM4 open_fraction,TM3-TM4 open_fraction CI,TM3-TM4 mean_dist (Å),TM7-TM1 open_fraction,TM7-TM1 open_fraction CI,TM7-TM1 mean_dist (Å),TM4-TM5 open_fraction,TM4-TM5 open_fraction CI,TM4-TM5 mean_dist (Å),TM5-TM6 open_fraction,TM5-TM6 open_fraction CI,TM5-TM6 mean_dist (Å),TM1-TM2 open_fraction,TM1-TM2 open_fraction CI,TM1-TM2 mean_dist (Å),TM6-TM7 open_fraction,TM6-TM7 open_fraction CI,TM6-TM7 mean_dist (Å),TM2-TM3 open_fraction,TM2-TM3 open_fraction CI,TM2-TM3 mean_dist (Å)
G12_7SF7,0.597,"[0.575,0.610]",8.85,0.057,"[0.015,0.100]",6.28,0.437,"[0.395,0.490]",4.17,0.058,"[0.020,0.090]",6.96,0.005,"[0.005,0.005]",5.97,0.170,"[0.070,0.230]",7.54,0.000,"[0.000,0.000]",2.87
G12_7SF8,0.425,"[0.380,0.450]",6.95,0.000,"[0.000,0.000]",6.44,0.537,"[0.475,0.570]",6.65,0.047,"[0.020,0.070]",8.58,0.210,"[0.150,0.275]",6.65,0.088,"[0.070,0.105]",9.42,0.000,"[0.000,0.000]",3.08
G12_7T6B,0.307,"[0.270,0.365]",7.80,0.165,"[0.120,0.235]",5.81,0.030,"[0.010,0.070]",2.16,0.347,"[0.070,0.745]",9.13,0.130,"[0.095,0.165]",7.11,0.007,"[0.000,0.020]",6.47,0.003,"[0.000,0.010]",2.86
G12_8H8J,0.852,"[0.831,0.866]",20.52,0.854,"[0.766,0.945]",16.73,0.605,"[0.557,0.692]",7.74,0.484,"[0.433,0.527]",13.59,0.833,"[0.662,0.950]",21.99,0.569,"[0.343,0.756]",15.71,0.521,"[0.259,0.711]",10.50
G12_8IKL,0.542,"[0.390,0.775]",10.34,0.003,"[0.000,0.010]",7.19,0.567,"[0.510,0.655]",4.41,0.158,"[0.095,0.230]",6.90,0.000,"[0.000,0.000]",6.58,0.085,"[0.025,0.160]",7.95,0.000,"[0.000,0.000]",3.25
G12_8KGG,0.538,"[0.430,0.660]",7.93,0.482,"[0.375,0.585]",8.89,0.262,"[0.070,0.620]",2.35,0.397,"[0.205,0.620]",8.79,0.142,"[0.015,0.360]",7.59,0.005,"[0.000,0.010]",7.74,0.015,"[0.000,0.035]",3.75
G12_9IY8,0.947,"[0.910,0.970]",14.02,0.803,"[0.780,0.835]",9.73,0.853,"[0.765,0.940]",6.65,0.248,"[0.190,0.350]",7.55,0.572,"[0.315,0.760]",10.44,0.012,"[0.005,0.020]",8.99,0.003,"[0.000,0.005]",3.50
Gi_6CMO,0.410,"[0.175,0.780]",9.55,0.403,"[0.365,0.450]",7.18,0.188,"[0.105,0.330]",4.96,0.765,"[0.580,1.000]",13.35,0.008,"[0.000,0.015]",7.91,0.337,"[0.185,0.490]",9.85,0.300,"[0.280,0.335]",5.31
Gi_6D9H,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00,0.000,"[0.000,0.000]",0.00
Gi_6G79,0.405,"[0.210,0.665]",8.77,0.572,"[0.540,0.600]",7.75,0.002,"[0.000,0.005]",3.63,0.298,"[0.035,0.620]",6.89,0.175,"[0.120,0.205]",8.27,0.015,"[0.000,0.040]",6.54,0.002,"[0.000,0.005]",1.67
Gi_6K42,0.282,"[0.265,0.315]",8.40,0.702,"[0.525,0.790]",10.17,0.037,"[0.010,0.055]",3.83,0.055,"[0.030,0.095]",5.99,0.800,"[0.505,0.950]",10.56,0.003,"[0.000,0.010]",6.84,0.000,"[0.000,0.000]",2.62
Gi_6LFO,0.138,"[0.085,0.195]",7.25,0.932,"[0.915,0.955]",10.57,0.017,"[0.005,0.030]",6.91,0.185,"[0.175,0.195]",7.41,0.088,"[0.065,0.115]",7.87,0.252,"[0.085,0.385]",7.96,0.002,"[0.000,0.005]",3.72
Gi_6LML,0.570,"[0.480,0.635]",10.18,0.002,"[0.000,0.005]",8.17,0.315,"[0.130,0.430]",7.44,0.328,"[0.265,0.425]",4.11,0.030,"[0.000,0.050]",6.93,0.322,"[0.095,0.520]",6.40,0.005,"[0.000,0.010]",4.99
Gi_6OSA,0.505,"[0.395,0.665]",8.78,0.492,"[0.310,0.695]",6.45,0.427,"[0.325,0.520]",5.01,0.263,"[0.030,0.710]",9.37,0.365,"[0.315,0.450]",11.30,0.240,"[0.095,0.405]",8.68,0.018,"[0.000,0.055]",2.96
Gi_6PT0,0.565,"[0.545,0.585]",9.63,0.197,"[0.160,0.235]",5.43,0.832,"[0.785,0.870]",6.58,0.977,"[0.960,0.990]",10.17,0.645,"[0.625,0.670]",12.84,0.060,"[0.030,0.100]",7.82,0.000,"[0.000,0.000]",3.72
Gi_6WWZ,0.375,"[0.240,0.560]",10.00,0.880,"[0.875,0.885]",9.02,0.082,"[0.080,0.085]",4.92,0.133,"[0.115,0.160]",7.12,0.098,"[0.065,0.135]",9.79,0.105,"[0.045,0.170]",7.24,0.042,"[0.020,0.070]",7.12
Gi_7CMV,0.482,"[0.395,0.525]",8.75,0.617,"[0.585,0.675]",9.47,0.060,"[0.055,0.065]",4.61,0.112,"[0.040,0.170]",6.79,0.007,"[0.000,0.010]",7.57,0.100,"[0.005,0.280]",6.75,0.000,"[0.000,0.000]",2.47
Gi_7D77,0.135,"[0.080,0.195]",8.96,0.007,"[0.000,0.020]",6.97,0.692,"[0.620,0.755]",6.11,0.107,"[0.020,0.195]",7.92,0.115,"[0.055,0.205]",8.53,0.267,"[0.160,0.475]",8.91,0.000,"[0.000,0.000]",3.33
Gi_7E2X,0.380,"[0.340,0.415]",9.13,0.667,"[0.590,0.745]",9.15,0.013,"[0.005,0.025]",3.67,0.417,"[0.195,0.640]",7.12,0.370,"[0.210,0.490]",8.49,0.010,"[0.000,0.030]",4.74,0.000,"[0.000,0.000]",1.76
Gi_7E32,0.473,"[0.370,0.635]",8.84,0.643,"[0.590,0.745]",8.95,0.038,"[0.025,0.060]",4.42,0.307,"[0.065,0.695]",8.61,0.162,"[0.100,0.270]",10.16,0.015,"[0.000,0.025]",7.64,0.003,"[0.000,0.010]",2.02
Gi_7E33,0.415,"[0.365,0.490]",8.29,0.333,"[0.295,0.390]",6.71,0.015,"[0.005,0.020]",4.86,0.128,"[0.050,0.215]",7.12,0.060,"[0.045,0.075]",7.03,0.137,"[0.025,0.220]",7.37,0.007,"[0.000,0.015]",1.77
Gi_7EJX,0.767,"[0.685,0.830]",7.51,0.787,"[0.715,0.855]",7.29,0.598,"[0.530,0.695]",4.00,0.027,"[0.000,0.075]",3.85,0.182,"[0.150,0.240]",7.28,0.118,"[0.075,0.190]",6.50,0.002,"[0.000,0.005]",1.85
Gi_7EW1,0.628,"[0.585,0.650]",6.99,0.663,"[0.590,0.725]",6.90,0.440,"[0.425,0.450]",2.79,0.065,"[0.010,0.115]",5.92,0.838,"[0.670,0.940]",8.79,0.360,"[0.290,0.450]",7.90,0.020,"[0.005,0.035]",1.82
Gi_7EW4,0.398,"[0.315,0.490]",8.15,0.450,"[0.335,0.535]",5.70,0.163,"[0.140,0.175]",3.57,0.127,"[0.095,0.185]",7.00,0.418,"[0.335,0.550]",8.05,0.022,"[0.005,0.035]",7.92,0.010,"[0.000,0.015]",3.21
Gi_7EXD,0.458,"[0.410,0.540]",8.37,0.532,"[0.435,0.680]",7.63,0.108,"[0.095,0.120]",6.97,0.047,"[0.010,0.070]",6.64,0.220,"[0.140,0.270]",9.53,0.195,"[0.085,0.275]",8.19,0.003,"[0.000,0.005]",2.60
Gi_7EZH,0.380,"[0.245,0.465]",10.95,0.535,"[0.435,0.630]",8.21,0.070,"[0.030,0.105]",3.52,0.342,"[0.285,0.445]",9.22,0.402,"[0.175,0.640]",7.80,0.102,"[0.010,0.240]",8.29,0.003,"[0.000,0.005]",3.23
Gi_7F1Q,0.790,"[0.750,0.810]",9.35,0.367,"[0.315,0.470]",9.38,0.450,"[0.380,0.485]",4.99,0.082,"[0.075,0.085]",7.85,0.002,"[0.000,0.005]",9.85,0.178,"[0.025,0.255]",8.12,0.000,"[0.000,0.000]",4.53
Gi_7F8V,0.623,"[0.445,0.900]",12.58,0.635,"[0.620,0.650]",9.51,0.353,"[0.140,0.775]",4.74,0.078,"[0.060,0.105]",8.92,0.452,"[0.230,0.600]",7.96,0.077,"[0.045,0.120]",7.57,0.000,"[0.000,0.000]",5.22
