Receptor,Contrast,Partner A,Partner B,Pockets A,Pockets B,Shared clusters,Pocket Jaccard sim.,Gateway dist. (mean |Δ|),Gateway 95% CI low,Gateway 95% CI high,α5 tilt diff. (°),Note
SSTR2,Gi-Gq,Gi,Gq,1,3,0,0.000,0.070,0.028,0.113,9.6,No shared pockets
NMUR2,Gi-Gq,Gi,Gq,2,1,0,0.000,0.060,0.048,0.072,40.5,No shared pockets
CCKAR,Gi-Gq,Gi,Gq,2,3,1,0.250,0.036,0.010,0.075,10.3,
CCKBR,Gi-Gq,Gi,Gq,2,3,1,0.250,0.039,0.017,0.068,2.3,
GHSR,Gi-Gq,Gi,Gq,2,2,1,0.333,0.083,0.040,0.153,21.9,
FFAR4,Gi-Gq,Gi,Gq,3,1,1,0.333,0.075,0.041,0.117,n/a,
EDNRB,Gi-Gq,Gi,Gq,4,3,2,0.400,0.103,0.035,0.254,3.2,
OX2R,Gi-Gq,Gi,Gq,2,1,1,0.500,0.051,0.017,0.097,14.1,
CRHR2,Gi-Gs,Gi,Gs,2,2,0,0.000,0.086,0.018,0.171,n/a,No shared pockets
FFAR4,Gi-Gs,Gi,Gs,3,4,1,0.167,0.073,0.025,0.129,n/a,
OX2R,Gi-Gs,Gi,Gs,2,1,1,0.500,0.076,0.043,0.108,6.7,
H1R,Gq-Gs,Gq,Gs,2,3,0,0.000,0.110,0.051,0.180,5.5,No shared pockets
P2Y1R,Gq-Gs,Gq,Gs,2,2,0,0.000,0.077,0.031,0.133,27.6,No shared pockets
FFAR4,Gq-Gs,Gq,Gs,1,4,1,0.250,0.068,0.040,0.099,33.4,
NK1R,Gq-Gs,Gq,Gs,3,2,1,0.250,0.089,0.052,0.123,5.8,
OX2R,Gq-Gs,Gq,Gs,1,1,1,1.000,0.109,0.044,0.185,7.4,Identical pocket profiles
